Title,Publisher,Published,Downloads,Pages,Category
Aatmasutra-Unveiling the Soul,Hingori,16-Jun,570,254,Philosophy
The Salvation  of Love And Love as Salvation,Laurence Robert Cohen,16-Apr,534,98,Philosophy
Heartfulness Magazine Issue 6,Sahaj Marg Spirituality Foundation,16-Mar,182,84,Philosophy
60 Reflections of Daily Philosophy to Get By,Raquel Couto Antelo,16-Feb,1185,127,Philosophy
Light: Philosophy,Ankur Mutreja,16-Jan,284,48,Philosophy
Spirituality,Eric EH Buddhadharma,16-Jan,509,10,Philosophy
Life Lessons from Grandpa and His Chicken Coop: A Playful Journey Through Some Serious Sh*t,Jacob Paul Patchen,15-Nov,1276,106,Philosophy
I Don't Know,Philip E. Graves,15-Oct,335,190,Philosophy
Cosmology,ALEXIS KARPOUZOS,15-Sep,569,57,Philosophy
Illusions - Maya,Natarajan Nagarethinam,15-Sep,445,82,Philosophy
Software and Mind: The Mechanistic Myth and Its Consequences,Andrei Sorin,15-May,1262,50,Philosophy
The Self-Criticism of Science,ALEXIS KARPOUZOS,15-Apr,362,27,Philosophy
ஓட்டங்கள்  (Spirituality Through Eyes of Science),Natarajan Nagarethinam,15-Jan,310,185,Philosophy
Tip Toe In The Briar Patch,Wade Welch,14-Oct,104,51,Philosophy
Selected African Proverbs From the Igbo people of Eastern Nigeria,Uzoma Azuonye,14-Jul,675,56,Philosophy
Les Origines Des Eaux De Source Dans Le Monde,Mohammad Amin Sheikho,14-May,44,141,Philosophy
The Most Important Knowledge You Would Ever Read Implement and Live up to Forever,Andy PSV,14-Mar,2263,554,Philosophy
Tell the Truth,Robert Velarosa,14-Mar,867,92,Philosophy
Proclus Diadochus on the Theology of Plato,Thomas Taylor,13-Dec,402,593,Philosophy
Forall X: An Introduction to Formal Logic,P. D. Magnus,13-Nov,711,160,Philosophy
The Sources of Spring Water in the World,Mohammad Amin Sheikho,13-Nov,304,120,Philosophy
In Medusa's Mirror,Maïa,13-Jul,464,145,Philosophy
"First Person Plural, Imperfect",Maia,13-Jul,704,246,Philosophy
In Whose Name?,Maïa,13-Jun,494,121,Philosophy
Introduction to Phenomenology,Dermot Moran,13-Mar,2252,616,Philosophy
Little Book Open - Securing a Narrow Clear Passage to the Future,David Butterworth,13-Feb,956,399,Philosophy
The Silent Whisperings Of The Heart,Swami Dhyan Giten,13-Jan,1228,56,Philosophy
The Psychic Thinker,Geoff Howard,12-Nov,986,52,Philosophy
Life in Two Worlds,Gerhard Nehls,12-Sep,791,102,Philosophy
Game of Life: The Fifth Flower,Asger Rosendal Thorn,12-Aug,1829,144,Philosophy
Thought Relics,Rabindranath Tagore,12-Aug,152,50,Philosophy
The Works,Tiago Bonacho,12-Jul,341,50,Philosophy
Altar of Peace,Tiago Bonacho,12-Jul,640,50,Philosophy
The Hidden Truth:  A Logical Path -  to Discover the Nature of Reality and the Meaning of Life,Wade C. Wilson,12-May,3590,148,Philosophy
"Our Holy Hell: The Causes, the Solutions",Aron Loyd,11-Dec,2508,389,Philosophy
Rayisms,Ray Rothbard,11-Nov,1528,28,Philosophy
Homo Sapience Joseph II,Joseph,11-Aug,1530,92,Philosophy
Talking AZA 1,Eugene Halliday,11-Aug,1845,28,Philosophy
Home Sweet Hell,Wade Welch,11-Aug,1380,21,Philosophy
